population_size,mutation_rate,n_hidden_neurons_1,n_hidden_neurons_2,generations,best_fitness,highest_mean_fitness
200,0.05,10,5,30,93.33193985886487,88.12354814452536
200,0.05,10,5,50,93.40956741322127,90.04981013460456
200,0.05,10,5,100,93.92482618476618,92.66994060688994
200,0.05,10,10,30,93.37504998251859,85.52236874879495
200,0.05,10,10,50,93.37504998251859,91.31926379235033
200,0.05,10,10,100,93.37504998251859,92.17492890151242
200,0.05,10,15,30,93.2070431491098,87.01105412973251
200,0.05,10,15,50,93.37504998251859,88.3822632392122
200,0.05,10,15,100,93.76304739758636,91.10995574853496
200,0.05,10,25,30,93.33193985886487,89.31727847189691
200,0.05,10,25,50,93.37504998251859,87.58108466646148
200,0.05,10,25,100,93.37504998251859,92.51104440731685
200,0.05,20,5,30,93.37504998251859,88.41653504994767
200,0.05,20,5,50,93.46728120673463,88.22716146208582
200,0.05,20,5,100,93.37504998251859,91.37011597071691
200,0.05,20,10,30,93.37504998251859,87.90143998678795
200,0.05,20,10,50,93.40956741322127,90.33748896862545
200,0.05,20,10,100,93.96956207860757,91.99249599612423
200,0.05,20,15,30,93.33193985886487,89.52498708363859
200,0.05,20,15,50,93.37504998251859,88.40881291563612
200,0.05,20,15,100,93.9001335721758,89.61865937585883
200,0.05,20,25,30,93.33616819497439,89.4961710500312
200,0.05,20,25,50,93.33193985886487,90.61654849645923
200,0.05,20,25,100,93.37504998251859,90.9813804364398
200,0.05,30,5,30,93.33193985886487,89.15674141480919
200,0.05,30,5,50,94.33740496697304,87.24109509663681
200,0.05,30,5,100,93.37504998251859,90.35811470899392
200,0.05,30,10,30,93.40956741322127,86.62135969200311
200,0.05,30,10,50,93.32772932632852,90.18458195432987
200,0.05,30,10,100,93.76956207860756,91.42586039794766
200,0.05,30,15,30,93.33193985886487,86.60162120022328
200,0.05,30,15,50,93.33193985886487,88.4176848654983
200,0.05,30,15,100,93.88200618758324,90.84624107450013
200,0.05,30,25,30,93.33616819497439,85.45661830054934
200,0.05,30,25,50,93.40956741322127,88.68938936473536
200,0.05,30,25,100,93.92482618476618,91.30910787788062
200,0.05,50,5,30,93.37504998251859,89.02398532056078
200,0.05,50,5,50,93.37504998251859,89.34559720129403
200,0.05,50,5,100,93.37504998251859,91.2302839185705
200,0.05,50,10,30,93.33193985886487,85.16062406435037
200,0.05,50,10,50,93.46728120673463,89.27053962607727
200,0.05,50,10,100,93.76956207860756,90.4941086381696
200,0.05,50,15,30,93.40956741322127,88.91819175787403
200,0.05,50,15,50,93.67603602059674,89.8911478977952
200,0.05,50,15,100,93.37504998251859,92.0732109474763
200,0.05,50,25,30,93.40956741322127,87.26860836054209
200,0.05,50,25,50,93.37504998251859,89.88237643924404
200,0.05,50,25,100,93.91859563501554,90.69195333756038
200,0.1,10,5,30,92.84094470078547,89.91827135307359
200,0.1,10,5,50,93.33193985886487,91.04246739881786
200,0.1,10,5,100,93.40956741322127,91.30614900808133
200,0.1,10,10,30,93.2070431491098,88.6009318582658
200,0.1,10,10,50,93.67603602059674,90.64416801150107
200,0.1,10,10,100,93.37504998251859,91.16777471058042
200,0.1,10,15,30,93.40956741322127,88.79107713438438
200,0.1,10,15,50,93.17504998251859,91.09319440420794
200,0.1,10,15,100,93.88200618758324,89.34147798246282
200,0.1,10,25,30,93.40956741322127,88.05496623736529
200,0.1,10,25,50,93.40956741322127,87.2141206408057
200,0.1,10,25,100,93.68801221164345,90.76930764891269
200,0.1,20,5,30,93.40956741322127,90.08308380233892
200,0.1,20,5,50,93.33193985886487,89.18405965196014
200,0.1,20,5,100,93.59605369405453,92.49560863749059
200,0.1,20,10,30,93.13214184093668,90.68597772207868
200,0.1,20,10,50,93.37504998251859,89.05800224443469
200,0.1,20,10,100,93.37611947915373,90.9207286214911
200,0.1,20,15,30,93.40956741322127,88.17591121337254
200,0.1,20,15,50,93.37504998251859,90.79081067898638
200,0.1,20,15,100,93.33193985886487,90.17732610344028
200,0.1,20,25,30,93.40956741322127,85.46361829222185
200,0.1,20,25,50,93.33740496697304,88.24944103555919
200,0.1,20,25,100,94.00278772623588,88.38655300495087
200,0.1,30,5,30,93.88200618758324,88.38464482495296
200,0.1,30,5,50,93.33193985886487,89.98739212007092
200,0.1,30,5,100,93.97611947915372,91.07201825210295
200,0.1,30,10,30,93.20278772623588,88.67723235916478
200,0.1,30,10,50,93.20278772623588,89.02778752731847
200,0.1,30,10,100,93.46728120673463,90.42835202402013
200,0.1,30,15,30,93.40956741322127,86.5192248345212
200,0.1,30,15,50,93.40956741322127,88.65126228097442
200,0.1,30,15,100,93.53214184093667,90.32521968926642
200,0.1,30,25,30,93.13214184093668,85.88767801353725
200,0.1,30,25,50,93.67603602059674,90.91982195909557
200,0.1,30,25,100,93.92482618476618,89.01968098173182
200,0.1,50,5,30,93.33193985886487,86.6934421279373
200,0.1,50,5,50,93.33193985886487,88.98516151300352
200,0.1,50,5,100,93.37504998251859,92.28373714774352
200,0.1,50,10,30,93.33193985886487,87.2150868049504
200,0.1,50,10,50,93.37504998251859,90.00467156251918
200,0.1,50,10,100,93.53214184093667,89.53294690482657
200,0.1,50,15,30,93.20278772623588,88.08362800205023
200,0.1,50,15,50,93.40956741322127,85.68498527518405
200,0.1,50,15,100,93.92482618476618,91.465033154476
200,0.1,50,25,30,93.33214184093667,86.51994616047709
200,0.1,50,25,50,93.91859563501554,86.4474796937906
200,0.1,50,25,100,93.46728120673463,90.81797375641392
200,0.2,10,5,30,93.33193985886487,88.21036864664913
200,0.2,10,5,50,93.37504998251859,90.10074960074682
200,0.2,10,5,100,94.07603602059675,91.75772738529012
200,0.2,10,10,30,93.33193985886487,86.26588546630612
200,0.2,10,10,50,93.37504998251859,87.69002190634997
200,0.2,10,10,100,93.90624979919323,91.15949592462721
200,0.2,10,15,30,93.7001335721758,90.44319023590826
200,0.2,10,15,50,93.40956741322127,90.4786932341817
200,0.2,10,15,100,93.69405452609942,91.42091682344434
200,0.2,10,25,30,93.33193985886487,88.84346731133365
200,0.2,10,25,50,93.37504998251859,86.67324853988356
200,0.2,10,25,100,93.37504998251859,90.90785731832061
200,0.2,20,5,30,93.37504998251859,89.44135380688846
200,0.2,20,5,50,93.37504998251859,89.27080929589135
200,0.2,20,5,100,93.71859563501553,91.84543579942721
200,0.2,20,10,30,93.40956741322127,87.27238553004075
200,0.2,20,10,50,93.40956741322127,89.4072875702425
200,0.2,20,10,100,93.68801221164345,88.67073162773484
200,0.2,20,15,30,92.73193985886488,88.86517668316043
200,0.2,20,15,50,93.33193985886487,90.85225271440682
200,0.2,20,15,100,93.48801221164345,89.20467243467134
200,0.2,20,25,30,93.40956741322127,88.09138501781145
200,0.2,20,25,50,93.53193985886487,87.43919866720672
200,0.2,20,25,100,93.37504998251859,92.27415779268398
200,0.2,30,5,30,93.33616819497439,87.18289337403782
200,0.2,30,5,50,93.40956741322127,89.61965034234807
200,0.2,30,5,100,93.37504998251859,90.96541791626188
200,0.2,30,10,30,93.33193985886487,87.86553312919978
200,0.2,30,10,50,93.87603602059674,88.97983256782614
200,0.2,30,10,100,93.92482618476618,91.43755540545965
200,0.2,30,15,30,93.37504998251859,87.76844051703476
200,0.2,30,15,50,93.49061166337202,89.9959397997116
200,0.2,30,15,100,93.53214184093667,91.33785889420668
200,0.2,30,25,30,93.33616819497439,87.07390187809207
200,0.2,30,25,50,93.40956741322127,88.13028945091472
200,0.2,30,25,100,93.39605369405454,89.78989945650282
200,0.2,50,5,30,93.40956741322127,87.24498771003691
200,0.2,50,5,50,93.37504998251859,88.12418636701972
200,0.2,50,5,100,93.9001335721758,89.67888470050016
200,0.2,50,10,30,93.87603602059674,88.86519571190196
200,0.2,50,10,50,93.40956741322127,88.66306121304483
200,0.2,50,10,100,93.46728120673463,88.3855454507755
200,0.2,50,15,30,93.33193985886487,87.08777927184416
200,0.2,50,15,50,93.9001335721758,89.37859451180756
200,0.2,50,15,100,93.53214184093667,89.08982455245878
200,0.2,50,25,30,93.40956741322127,84.428242177822
200,0.2,50,25,50,93.40278772623589,86.35423683106492
200,0.2,50,25,100,93.88200618758324,90.72220707436665
200,0.3,10,5,30,93.33193985886487,88.06706322859968
200,0.3,10,5,50,93.37504998251859,89.6467912950795
200,0.3,10,5,100,93.37504998251859,90.39963038597679
200,0.3,10,10,30,92.93214184093668,89.87281683173838
200,0.3,10,10,50,93.37504998251859,89.97585098845326
200,0.3,10,10,100,93.40956741322127,91.505128505738
200,0.3,10,15,30,93.24704041507837,86.62290998576016
200,0.3,10,15,50,93.33193985886487,88.8524993972409
200,0.3,10,15,100,93.37504998251859,89.86704684551466
200,0.3,10,25,30,93.13214184093668,85.7679011270688
200,0.3,10,25,50,93.40956741322127,89.53254691507853
200,0.3,10,25,100,93.37504998251859,90.17174090373041
200,0.3,20,5,30,93.37504998251859,88.46759340607223
200,0.3,20,5,50,93.40956741322127,90.60720805849768
200,0.3,20,5,100,93.40956741322127,89.09304634116052
200,0.3,20,10,30,93.40956741322127,87.03441458530902
200,0.3,20,10,50,93.40956741322127,88.25896001163062
200,0.3,20,10,100,93.76304739758636,91.26531251536368
200,0.3,20,15,30,93.40956741322127,87.97428014622976
200,0.3,20,15,50,93.40956741322127,89.04614453447037
200,0.3,20,15,100,93.33740496697304,90.45984570512876
200,0.3,20,25,30,93.40956741322127,86.85378672990167
200,0.3,20,25,50,93.55657488308074,90.27859742006365
200,0.3,20,25,100,93.37504998251859,90.23061931016855
200,0.3,30,5,30,93.57611947915372,89.64756420704522
200,0.3,30,5,50,93.20278772623588,89.96231685512987
200,0.3,30,5,100,93.37504998251859,92.26845005305866
200,0.3,30,10,30,93.56956207860756,90.85037648028958
200,0.3,30,10,50,93.40956741322127,88.17608477780708
200,0.3,30,10,100,93.40956741322127,90.73919564529504
200,0.3,30,15,30,93.33616819497439,86.59873195333218
200,0.3,30,15,50,93.33193985886487,89.57277922859328
200,0.3,30,15,100,93.37504998251859,90.22728715053279
200,0.3,30,25,30,93.40956741322127,86.93791330805347
200,0.3,30,25,50,93.73193985886488,87.05505021103744
200,0.3,30,25,100,93.40956741322127,91.51570955126543
200,0.3,50,5,30,93.37504998251859,87.45687290649767
200,0.3,50,5,50,93.40956741322127,91.11522681594623
200,0.3,50,5,100,93.40956741322127,89.9330205526581
200,0.3,50,10,30,93.13193985886487,90.2776797667072
200,0.3,50,10,50,93.37504998251859,89.22001029009445
200,0.3,50,10,100,93.40956741322127,90.47960602744524
200,0.3,50,15,30,93.46728120673463,87.58182574664234
200,0.3,50,15,50,93.33193985886487,88.75394867270187
200,0.3,50,15,100,93.46728120673463,90.60160497363566
200,0.3,50,25,30,93.40956741322127,87.0788667501176
200,0.3,50,25,50,93.40956741322127,88.94364505968561
200,0.3,50,25,100,93.91859563501554,90.16700250492345
